sentence,relation,head,head_offset,tail,tail_offset
云投生态以“建设工程施工合同纠纷”为由，对元阳县红叶温泉国际度假酒店有限公司、叶贵红、叶媛、郑栋韬提起诉讼。,起诉,云投生态,0,叶媛,43
云投生态以“建设工程施工合同纠纷”为由，对元阳县红叶温泉国际度假酒店有限公司、叶贵红、叶媛、郑栋韬提起诉讼。,起诉,云投生态,0,郑栋韬,46
云南城投下属控股子公司东方柏丰因借款合同纠纷事宜，以云南柏丰投资（集团）有限公司、金新国际有限公司为被告，向云南省高级人民法院提起诉讼。,起诉,东方柏丰,11,云南柏丰投资（集团）有限公司,26
云南城投下属控股子公司东方柏丰因借款合同纠纷事宜，以云南柏丰投资（集团）有限公司、金新国际有限公司为被告，向云南省高级人民法院提起诉讼。,起诉,东方柏丰,11,金新国际有限公司,41
原告李安华、王小立以商品房销售合同纠纷为由，向山东省淄博高新技术产业开发区人民法院起诉被告淄博银泰。,起诉,王小立,6,淄博银泰,45
原告李安华、王小立以商品房销售合同纠纷为由，向山东省淄博高新技术产业开发区人民法院起诉被告淄博银泰。,起诉,李安华,2,淄博银泰,45
原告黑龙江银泰以追偿权纠纷为由，向哈尔滨市道里区人民法院起诉被告左继香。,起诉,黑龙江银泰,2,左继香,32
西部水电建设有限公司以“建设工程施工合同纠纷”为由对云投生态和六盘水北大教育投资有限公司提起民事诉讼。,起诉,西部水电建设有限公司,0,云投生态,26
西部水电建设有限公司以“建设工程施工合同纠纷”为由对云投生态和六盘水北大教育投资有限公司提起民事诉讼。,起诉,西部水电建设有限公司,0,六盘水北大教育投资有限公司,31
四川省高级人民法院已立案受理原告四川华盛建筑工程有限公司以“建设工程施工合同纠纷”为由对云投生态南充分公司提起的民事诉讼案。,起诉,四川华盛建筑工程有限公司,16,云投生态,44
2021年1月5日，原告北京建银信达建设工程有限公司以债权转让合同纠纷为由，向黑龙江省哈尔滨市道里区人民法院起诉被告北京新创迪克系统集成技术有限公司（被告一）和哈尔滨银旗（被告二）。,起诉,北京建银信达建设工程有限公司,12,哈尔滨银旗,80
2021年1月5日，原告北京建银信达建设工程有限公司以债权转让合同纠纷为由，向黑龙江省哈尔滨市道里区人民法院起诉被告北京新创迪克系统集成技术有限公司（被告一）和哈尔滨银旗（被告二）。,起诉,北京建银信达建设工程有限公司,12,北京新创迪克系统集成技术有限公司,58
2021年1月5日，原告北京建银信达建设工程有限公司以债权转让合同纠纷为由，向黑龙江省哈尔滨市道里区人民法院起诉被告北京新创迪克系统集成技术有限公司（被告一）和哈尔滨银旗（被告二）。,起诉,北京建银信达建设工程有限公司,12,北京新创迪克系统集成技术有限公司,58
2021年1月5日，原告北京建银信达建设工程有限公司以债权转让合同纠纷为由，向黑龙江省哈尔滨市道里区人民法院起诉被告北京新创迪克系统集成技术有限公司（被告一）和哈尔滨银旗（被告二）。,起诉,北京建银信达建设工程有限公司,12,哈尔滨银旗,80
2020年5月，原告李安华、王小立以商品房销售合同纠纷为由，向山东省淄博高新技术产业开发区人民法院起诉被告名尚银泰城（淄博）商业发展有限公司。,起诉,王小立,14,名尚银泰城（淄博）商业发展有限公司,53
2020年5月，原告李安华、王小立以商品房销售合同纠纷为由，向山东省淄博高新技术产业开发区人民法院起诉被告名尚银泰城（淄博）商业发展有限公司。,起诉,李安华,10,名尚银泰城（淄博）商业发展有限公司,53
2019年8月9日，贵研金属因与北京黄金交易中心有限公司合同纠纷事项，向上海市浦东新区人民法院提起诉讼。,起诉,贵研金属,10,北京黄金交易中心有限公司,16
2019年5月，原告郝万德以建设工程施工合同纠纷为由，向宁波市鄞州区人民法院起诉冯科（被告一）、江苏天腾建设集团有限公司（被告二）、中国建筑第八工程局有限公司（被告三）、宁波银泰（第三人）。,起诉,郝万德,10,冯科,40
2019年5月，原告郝万德以建设工程施工合同纠纷为由，向宁波市鄞州区人民法院起诉冯科（被告一）、江苏天腾建设集团有限公司（被告二）、中国建筑第八工程局有限公司（被告三）、宁波银泰（第三人）。,起诉,郝万德,10,江苏天腾建设集团有限公司,48
2019年5月，原告郝万德以建设工程施工合同纠纷为由，向宁波市鄞州区人民法院起诉冯科（被告一）、江苏天腾建设集团有限公司（被告二）、中国建筑第八工程局有限公司（被告三）、宁波银泰（第三人）。,起诉,郝万德,10,中国建筑第八工程局有限公司,66
2019年5月，原告郝万德以建设工程施工合同纠纷为由，向宁波市鄞州区人民法院起诉冯科（被告一）、江苏天腾建设集团有限公司（被告二）、中国建筑第八工程局有限公司（被告三）、宁波银泰（第三人）。,起诉,郝万德,10,宁波银泰,85
2018年11月29日昆明贵研催化剂有限责任公司因与平原滤清器有限公司合同纠纷事项，向新乡市中级人民法院提起诉讼。,起诉,昆明贵研催化剂有限责任公司,11,平原滤清器有限公司,26
2017年6月29日贵研铂业股份有限公司因与云龙县铂翠贵金属科技有限公司合同纠纷事项，向昆明市五华区人民法院提起诉讼。,起诉,贵研铂业股份有限公司,10,云龙县铂翠贵金属科技有限公司,22
作为国有控股公司，云投生态控股股东云南省投资控股集团有限公司所从事的多元化业务能够为公司带来资源支持。,控股,云南省投资控股集团有限公司,17,云投生态,9
重庆贵研汽车净化器有限责任公司系贵研铂业控股子公司昆明贵研催化剂有限责任公司的参股公司，法定代表人为王庆华，注册地为重庆市九龙坡区石新路218号2栋1单元5-4号。,控股,重庆贵研汽车净化器有限责任公司,0,昆明贵研催化剂有限责任公司,25
中希集团有限公司系贵研铂业控股子公司贵研中希（上海）新材料科技有限公司的另一方法人股东，法定代表人为郑元龙，注册地为浙江省乐清经济开发区纬六路181号。,控股,中希集团,0,贵研中希（上海）新材料科技有限公司,18
在面临复杂多变的外部环境情况下，贵研铂业坚定贵金属产业发展主线，并购的贵研中希（上海）新材料科技有限公司纳入合并范围，且为公司创造了良好的经营业绩。,控股,贵研铂业,16,贵研中希（上海）新材料科技有限公司,35
云锡贸易（上海）有限公司系云南锡业集团（控股）有限责任公司的下属公司，法定代表人为刘路坷，注册地为上海漕河泾开发区松江高科技园莘砖公路258号32幢1501室。,控股,云南锡业集团（控股）有限责任公司,13,云锡贸易（上海）有限公司,0
云投生态控股股东云投集团持有云南省医疗投资管理集团有限公司70%股权。,控股,云投集团,8,云南省医疗投资管理集团有限公司,14
云投集团持有云投农林90.20%股份，云投农林为公司的关联法人，本次交易构成关联交易。,控股,云投集团,0,云投农林,6
云南云投建设有限公司持有泛亚置业50%股份，公司控股股东云南省投资控股集团有限公司持有云投建设91%股份，泛亚置业为公司的关联法人，本次交易构成关联交易。,控股,云南云投建设有限公司,0,泛亚置业,12
云南云投建设有限公司持有泛亚置业50%股份，公司控股股东云南省投资控股集团有限公司持有云投建设91%股份，泛亚置业为公司的关联法人，本次交易构成关联交易。,控股,云南省投资控股集团有限公司,28,云投建设,2
云南新世纪滇池国际文化旅游会展投资有限公司成立于2012年10月，云南省城市建设投资集团有限公司持有云南新世纪滇池国际文化旅游会展投资有限公司53.8783%股权。,控股,云南省城市建设投资集团有限公司,33,云南新世纪滇池国际文化旅游会展投资有限公司,50
云南锡业集团（控股）有限责任公司系云南省贵金属新材料控股集团有限公司的控股股东，法定代表人为张涛，注册地址为云南省红河州个旧市金湖东路121号。,控股,云南锡业集团（控股）有限责任公司,0,云南省贵金属新材料控股集团有限公司,17
云南省医疗投资管理集团有限公司持有云南云投职教扶贫开发玉溪卫校有限公司57.14%股权。,控股,云南省医疗投资管理集团有限公司,0,云南云投职教扶贫开发玉溪卫校有限公司,17
云南省人民政府国有资产监督管理委员会和云南省财政厅分别持有云投集团90%和10%的股权。,控股,云南省人民政府国有资产监督管理委员会,0,云投集团,29
云南省人民政府国有资产监督管理委员会和云南省财政厅分别持有云投集团90%和10%的股权。,控股,云南省财政厅,19,云投集团,29
云南省贵金属新材料控股集团有限公司系贵研铂业控股股东，法定代表人为朱绍武，注册地为云南省昆明市高新技术产业开发区科技路988号。,控股,云南省贵金属新材料控股集团有限公司,0,贵研铂业,18
云南省滇中产业新区开发投资有限公司持有云投酒店100%股份，公司控股股东云投集团持有云南省滇中产业新区开发投资有限公司100%股份，云投酒店为公司的关联法人，本次交易构成关联交易。,控股,云投集团,36,云南省滇中产业新区开发投资有限公司,0
云南省滇中产业新区开发投资有限公司持有云投酒店100%股份，公司控股股东云投集团持有云南省滇中产业新区开发投资有限公司100%股份，云投酒店为公司的关联法人，本次交易构成关联交易。,控股,云投集团,36,云南省滇中产业新区开发投资有限公司,0
云南省滇中产业新区开发投资有限公司持有云投酒店100%股份，公司控股股东云投集团持有云南省滇中产业新区开发投资有限公司100%股份，云投酒店为公司的关联法人，本次交易构成关联交易。,控股,云南省滇中产业新区开发投资有限公司,0,云投酒店,19
云南省城市建设投资集团有限公司持有昆明未来城开发有限公司100%的股权。,控股,云南省城市建设投资集团有限公司,0,昆明未来城开发有限公司,17
云南能投化工有限责任公司系云南锡业集团（控股）有限责任公司的下属公司。,控股,云南锡业集团（控股）有限责任公司,13,云南能投化工有限责任公司,0
云南海埂酒店管理有限公司成立于2013年3月11日，云南省城市建设投资集团有限公司持有云南海埂酒店管理有限公司100%的股权。,控股,云南省城市建设投资集团有限公司,26,云南海埂酒店管理有限公司,43
云南城投医疗产业开发有限公司成立于2006年8月15日，云南省城市建设投资集团有限公司持有云南城投医疗产业开发有限公司65%的股权。,控股,云南省城市建设投资集团有限公司,28,云南城投医疗产业开发有限公司,45
云南城投下属参股公司云南城投华商之家投资开发有限公司因目前无法偿还其所欠股东到期借款本息，拟采用以物抵债等方式偿还其对股东的债务。 ,控股,云南城投,0,云南城投华商之家投资开发有限公司,10
"云南城投通过全资子公司云南省水务产业投资有限公司持有云南水务投资股份有限公司361,487,162股内资股，通过全资子公司彩云国际投资有限公司持有云南水务投资股份有限公司8,449,000股H股，合计持有云南水务已发行总股本31.01%，控制云南水务投资股份有限公司。",控股,云南城投,0,云南水务投资股份有限公司,26
"云南城投集团直接持有云南城投640,150,575股股份，并通过云南融智投资有限公司持有云南城投 32,613,687股股份。",控股,云南城投集团,0,云南城投,10
"云南城投集团直接持有云南城投 640,150,575股股份，并通过云南融智投资有限公司持有云南城投 32,613,687股股份",控股,云南城投集团,0,云南融智投资,33
云南城投2021年拟向下属参股公司云南温泉山谷康养度假运营开发（集团）有限公司提供新增担保额度3亿元。,控股,云南城投,0,云南温泉山谷康养度假运营开发（集团）有限公司,17
天津银润为投资平台，未实际开展经营业务，主要持有成都银城51%股权、宁波泰悦51%股权以及奉化银泰51%股权。,控股,天津银润,0,成都银城,24
天津银润为投资平台，未实际开展经营业务，主要持有成都银城51%股权、宁波泰悦51%股权以及奉化银泰51%股权。,控股,天津银润,0,宁波泰悦,34
天津银润为投资平台，未实际开展经营业务，主要持有成都银城51%股权、宁波泰悦51%股权以及奉化银泰51%股权。,控股,天津银润,0,奉化银泰,45
上海东方航空宾馆有限公司成立于2001年12月28日，云南省城市建设投资集团有限公司持有上海东方航空宾馆有限公司100%的股权。,控股,云南省城市建设投资集团有限公司,27,上海东方航空宾馆有限公司,44
陵水顺泽房地产开发有限公司成立于2009年10月15日，云南省城市建设投资集团有限公司持有陵水顺泽房地产开发有限公司80%的股权。,控股,云南省城市建设投资集团有限公司,28,陵水顺泽房地产开发有限公司,45
昆明国际会展中心有限公司成立于1992年11月18日，云南省城市建设投资集团有限公司持有昆明国际会展中心有限公司100%的股权。,控股,云南省城市建设投资集团有限公司,27,昆明国际会展中心有限公司,44
康源公司为云南城投控股股东康旅集团全资子公司。,控股,康旅集团,13,云南城投,5
康源公司为云南城投控股股东康旅集团全资子公司。,控股,康旅集团,13,云南城投,5
截至本报告出具日，云南城投直接及间接合计持有宁波泰悦70%的股权，宁波泰悦为云南城投的控股子公司。,控股,云南城投,9,宁波泰悦,22
截至本报告出具日，云南城投持有淄博银泰70%的股权。,控股,云南城投,9,淄博银泰,15
截至本报告出具日，云南城投持有台州置业70%的股权。,控股,云南城投,9,台州置业,15
截至本报告出具日，云南城投持有哈尔滨银旗70%的股权。,控股,云南城投,9,哈尔滨银旗,15
截至本报告出具日，云南城投持有北京房开90%的股权。,控股,云南城投,9,北京房开,15
"华侨城实业有限公司为了满足资金需要，向股东深圳华侨城股份有限公司借款11,900万元，同时向云南世博旅游控股集团有限公司借款5,100万元。",控股,深圳华侨城股份有限公司,21,华侨城实业,0
华侨城实业的股权结构为深圳华侨城股份有限公司持股50%，香港华侨城企业有限公司持股20%，云南城投持股30%。,控股,云南城投,45,华侨城实业,0
华侨城实业的股权结构为深圳华侨城股份有限公司持股50%，香港华侨城企业有限公司持股20%，云南城投持股30%。,控股,香港华侨城企业有限公司,28,华侨城实业,0
华侨城实业的股权结构为深圳华侨城股份有限公司持股50%，香港华侨城企业有限公司持股20%，云南城投持股30%。,控股,深圳华侨城股份有限公司,11,华侨城实业,0
贵研铂业控股股东仍为贵金属集团，实际控制人仍为云南省国资委。,控股,贵金属集团,10,贵研铂业,0
贵研铂业股份有限公司控股股东云南省贵金属新材料控股集团有限公司的控股股东云南锡业集团（控股）有限责任公司以非公开协议方式转让所持贵金属集团100%股权至云南省投资控股集团有限公司。,控股,云南锡业集团（控股）有限责任公司,36,云南省贵金属新材料控股集团有限公司,14
贵研铂业股份有限公司控股股东云南省贵金属新材料控股集团有限公司的控股股东云南锡业集团（控股）有限责任公司以非公开协议方式转让所持贵金属集团100%股权至云南省投资控股集团有限公司。,控股,云南省贵金属新材料控股集团有限公司,14,贵研铂业股份有限公司,0
贵金属集团完成收购云锡控股所持贵研铂业股份且成为贵研铂业的控股股东后，云锡控股或云锡控股控制的其他公司将不以任何方式参与相同或者类似的主营业务活动。,控股,贵金属集团,0,贵研铂业,15
大理满江康旅投资有限公司的股权结构为昆明万洱房地产开发有限公司持有80%的股权，云南城投实际持有20%的股权。,控股,云南城投,40,大理满江康旅投资有限公司,0
大理满江康旅投资有限公司的股权结构为昆明万洱房地产开发有限公司持有80%的股权，云南城投实际持有20%的股权。,控股,昆明万洱房地产开发有限公司,18,大理满江康旅投资有限公司,0
郴州云湘矿冶有限责任公司系云南锡业集团（控股）有限责任公司的下属公司，法定代表人为沙斌，注册地为郴州市苏仙区桥口镇下渡村。,控股,云南锡业集团（控股）有限责任公司,13,郴州云湘矿冶有限责任公司,0
2020年2月24日，云南城投下属企业云南安盛创享旅游产业投资合伙企业公开挂牌转让所持有的西安云城置业有限公司51%股权。,控股,云南城投,11,云南安盛创享旅游产业投资合伙企业,19
"2019年4月12日，云投生态向控股股东云投集团申请63,300万元委托贷款缓解公司资金压力。",控股,云投集团,20,云投生态,11
2013年3月29日，云南安盛创享旅游产业投资合伙企业（有限合伙）对西安华兴电炉有限责任公司进行增资，占51%的股权，西安通海电炉工程有限公司名称变更为西安云城置业有限公司。,控股,云南安盛创享旅游产业投资合伙企业,11,西安华兴电炉有限责任公司,34
"2012年9月12日，精英国际出资15,000万元增资并购淄博银泰，企业类型变更为中外合资企业。",控股,精英国际,11,淄博银泰,29
2007年5月17日，云南城投通过股权转让方式成为光明股份第一大股东。,控股,云南城投,11,光明股份,25
"云投生态与参股公司昆明正城房地产开发有限公司协商，拟向昆明正城房地产开发有限公司申请1,200万元借款。",借款,云投生态,0,昆明正城房地产开发有限公司,9
"云南城投健康产业投资有限公司对云南城投享有1,299,616,166.66元债权，其中本金1,150,000,000.00元，资金占用费149,616,166.66元。",借款,云南城投健康产业投资有限公司,0,云南城投,15
"云南城投华商之家投资开发有限公司以账面部分债权和货币资金抵偿对云南城投债务148,934,208.89元，以账面部分债权抵偿百年置业17,000,000.00元。",借款,云南城投华商之家投资开发有限公司,0,云南城投,31
"由于遂宁仁里古镇文化旅游开发有限公司资金紧张，为保证云投生态控股子公司遂宁文旅的贷款利息支付及日常经营活动需求，云投生态拟向遂宁文旅提供1,148万元借款，期限一年。",借款,云投生态,56,遂宁文旅,35
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",借款,贵研铂业,14,贵研资源（易门）有限公司,30
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",借款,贵研铂业,14,贵研金属（上海）有限公司,43
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",借款,贵研铂业,14,昆明贵研催化剂有限责任公司,56
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",借款,贵研铂业,14,永兴贵研资源有限公司,70
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",借款,贵研铂业,14,贵研工业催化剂（云南）有限公司,81
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",借款,贵研铂业,14,贵研中希（上海）新材料科技有限公司,97
宁波泰悦与建行北仑支行签署《最高额抵押合同》，宁波泰悦为宁波泰悦商管向建行北仑支行借款提供最高额抵押担保，,借款,建行,35,宁波泰悦商管,28
"华侨城实业有限公司为了满足资金需要，向股东深圳华侨城股份有限公司借款11,900万元，同时向云南世博旅游控股集团有限公司借款5,100万元。",借款,华侨城实业,0,深圳华侨城股份有限公司,21
"华侨城实业有限公司为了满足资金需要，向股东深圳华侨城股份有限公司借款11,900万元，同时向云南世博旅游控股集团有限公司借款5,100万元。",借款,华侨城实业,0,云南世博旅游控股集团有限公司,46
2020年月20日董事会会议通过，云投生态同意向控股子公司遂宁仁里古镇文化旅游开发有限公司提供500万元借款。,借款,云投生态,17,遂宁仁里古镇文化旅游开发有限公司,29
"2020年6月1日，云投生态向控股股东云投集团申请49,100万元委托贷款，用于借新还旧及补充流动资金。",借款,云投集团,19,云投生态,10
2020年5月28日，云南城投置业股份有限公司向中交融资租赁有限公司申请融资4.75亿元。,借款,中交融资租赁有限公司,24,云南城投置业股份有限公司,11
"2020年11月4日，云投生态通过委贷方式，向洪尧园林提供3,500.00万元借款。",借款,云投生态,11,洪尧园林,23
"2020年11月4日，云投生态通过委贷方式，向洪尧园林提供3,500.00万元借款，借款期限一年。",借款,云投生态,11,洪尧园林,23
"2019年1月3日，西双版纳云辰置业与云南城投置业股份有限公司签订《借款协议》，向云南城投置业股份有限公司借出资金 71,710,000.00元。",借款,西双版纳云辰置业,10,云南城投置业股份有限公司,19
"2019年1月2日，云辰置业与辰兴房地产发展有限公司签订《借款协议》，向辰兴房地产发展有限公司借入资金102,600,000.00元。",借款,辰兴房地产发展有限公司,15,云辰置业,10
云投生态与云南云投盈科物业管理股份有限公司签订《物业合同》，2020年向盈科物业缴纳7楼物业费共计25.46万元。,合作协议,云投生态,0,云南云投盈科物业管理股份有限公司,5
云投生态与云南云投建设有限公司签订《施工协议》，参与国门疾控中心生物安全二级实验室装修改造工程项目的实施。,合作协议,云投生态,0,云南云投建设有限公司,5
云投生态于2018年5月8日递交的玉溪职教园区项目3#实训楼、护理实训楼装修工程的施工投标文件已被招标人云南云投职教扶贫开发玉溪卫校有限公司接受。,合作协议,云投生态,0,云南云投职教扶贫开发玉溪卫校有限公司,52
云南云投生态环境科技股份有限公司与泛亚置业签订该景观改造工程的《分包合同协议书》。,合作协议,云南云投生态环境科技股份有限公司,0,泛亚置业,17
近日，云南云投生态环境科技股份有限公司与陆良滇中健康城经营集团有限公司的全资控股子公司云南康衡置业有限公司经友好协商，达成一致意见，签订了《滇中健康城项目杏林小镇建设工程合作框架协议书》。 ,合作协议,云南云投生态环境科技股份有限公司,3,云南康衡置业有限公司,43
贵研铂业股份有限公司就投资建设“贵金属前驱体材料产业化项目”与控股股东云南省贵金属新材料控股集团有限公司签订了《贵金属前驱体材料产业化项目厂房定制合同》。,合作协议,贵研铂业,0,云南省贵金属新材料控股集团有限公司,35
2020年10月23日，北京房开与日立电梯（中国）有限公司就电梯采购、安装等签署《1#商务办公楼等 17项（房山区拱辰街道办事处及长阳镇09-04-21地块 C2商业金融用地项目）电梯供货安装工程供货合同》。,合作协议,北京房开,12,日立电梯（中国）有限公司,17
2020年10月19日，云南城投与中交地产股份有限公司、中交融资租赁有限公司、中交上海航道局有限公司共同签署了《深化战略合作协议》。,合作协议,云南城投,12,中交地产股份有限公司,17
