sentence,relation,head,head_offset,tail,tail_offset
"云南城投通过全资子公司云南省水务产业投资有限公司持有云南水务投资股份有限公司361,487,162股内资股，通过全资子公司彩云国际投资有限公司持有云南水务投资股份有限公司8,449,000股H股，合计持有云南水务已发行总股本31.01%，控制云南水务投资股份有限公司。",子公司,云南城投,0,彩云国际投资有限公司,61
"云南城投通过全资子公司云南省水务产业投资有限公司持有云南水务投资股份有限公司361,487,162股内资股，通过全资子公司彩云国际投资有限公司持有云南水务投资股份有限公司8,449,000股H股，合计持有云南水务已发行总股本31.01%，控制云南水务投资股份有限公司。",子公司,云南城投,0,云南省水务产业投资有限公司,11
云南城投健康产业投资有限公司为云南城投控股股东云南省城市建设投资集团有限公司的控股子公司。,子公司,云南省城市建设投资集团有限公司,23,云南城投健康产业投资有限公司,0
云南城投本次交易的交易对方康源公司为云南城投控股股东康旅集团全资子公司，本次交易构成关联交易。,子公司,康旅集团,26,康源公司,13
"由于遂宁仁里古镇文化旅游开发有限公司资金紧张，为保证云投生态控股子公司遂宁文旅的贷款利息支付及日常经营活动需求，云投生态拟向遂宁文旅提供1,148万元借款，期限一年。",子公司,云投生态,26,遂宁文旅,35
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",子公司,贵研铂业,14,贵研资源（易门）有限公司,30
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",子公司,贵研铂业,14,贵研金属（上海）有限公司,43
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",子公司,贵研铂业,14,昆明贵研催化剂有限责任公司,56
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",子公司,贵研铂业,14,永兴贵研资源有限公司,70
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",子公司,贵研铂业,14,贵研工业催化剂（云南）有限公司,81
"为支持控股子公司的业务发展，贵研铂业于2019年向控股子公司贵研资源（易门）有限公司、贵研金属（上海）有限公司、昆明贵研催化剂有限责任公司、永兴贵研资源有限公司、贵研工业催化剂（云南）有限公司及贵研中希（上海）新材料科技有限公司提供短期借款，合计最高不超过232,000.00万元。",子公司,贵研铂业,14,贵研中希（上海）新材料科技有限公司,97
天景公司为云投集团100%控股子公司。,子公司,云投集团,5,天景公司,0
宁波银泰 100%持股的子公司宁波银泰城商业管理有限公司无实质经营业务，并且宁波银泰未实际出资，导致宁波银泰城商业管理有限公司连年亏损，故，宁波银泰的长期股权投资评估减值。 ,子公司,宁波银泰,0,宁波银泰城商业管理有限公司,15
宁波市奉化银泰城商业经营管理有限公司为宁波奉化银泰置业有限公司的全资子公司。,子公司,宁波奉化银泰置业有限公司,19,宁波市奉化银泰城商业经营管理有限公司,0
昆明市官渡区人民政府决定协议收回云南城投下属全资子公司云南城投置地有限公司“拾萃城”项目国有土地使用权。,子公司,云南城投,16,云南城投置地有限公司,27
昆明贵研新材料科技有限公司系云南省贵金属新材料控股集团有限公司的全资子公司，法定代表人为陈家林，注册地址为云南省昆明市高新技术产业开发区科技路988号。,子公司,云南省贵金属新材料控股集团有限公司,14,昆明贵研新材料科技有限公司,0
昆明贵金属研究所系云南省贵金属新材料控股集团有限公司的全资子公司，法定代表人为陈家林，注册地址为云南省昆明市人民西路121号。,子公司,云南省贵金属新材料控股集团有限公司,9,昆明贵金属研究所,0
康源公司为云南城投控股股东康旅集团全资子公司。,子公司,康旅集团,13,康源公司,0
康源公司为云南城投控股股东康旅集团全资子公司。,子公司,康旅集团,13,康源公司,0
近日，云南云投生态环境科技股份有限公司与陆良滇中健康城经营集团有限公司的全资控股子公司云南康衡置业有限公司经友好协商，达成一致意见，签订了《滇中健康城项目杏林小镇建设工程合作框架协议书》。 ,子公司,陆良滇中健康城经营集团有限公司,20,云南康衡置业有限公司,43
截至本报告出具日，云南城投直接及间接合计持有宁波泰悦70%的股权，宁波泰悦为云南城投的控股子公司。,子公司,云南城投,9,宁波泰悦,22
截至2020年12月31日，康旅集团及其下属控股子公司云南融智投资有限公司合计持有云南城投41.90%的股权，康旅集团系公司控股股东。,子公司,康旅集团,14,云南融智投资有限公司,27
贵研铂业全资子公司贵研金属公司没有与云锡贸易（上海）有限公司在上海黄金交易所发生过系统随机性的撮合交易业务。,子公司,贵研铂业,0,贵研金属公司,9
贵研铂业控股子公司昆明贵研催化剂有限责任公司投资建设“机动车催化剂生产线国六升级改造项目”，总投资6687.12万元。 ,子公司,贵研铂业,0,昆明贵研催化剂有限责任公司,9
贵研铂业控股子公司贵研催化公司结合自身业务发展的实际需要，对外转让其所持重庆贵研公司20%股权，经重庆立信资产评估土地房地产估价有限公司评估后的转让价格为15.78万元。,子公司,贵研铂业,0,贵研催化公司,9
贵研铂业股份有限公司控股子公司昆明贵研催化剂有限责任公司与潍柴动力空气净化科技有限公司共同设立贵研催化剂（东营）有限公司。,子公司,贵研铂业股份有限公司,0,昆明贵研催化剂有限责任公司,15
贵研铂业根据自身业务发展的需要，收购控股子公司永兴资源公司下属全资子公司永兴检测公司51%股权，经中和资产评估有限公司评估后的收购价格为237.69万元。,子公司,贵研铂业,0,永兴资源公司,23
贵金属控股（新加坡）有限公司系云南省贵金属新材料控股集团有限公司的全资子公司。,子公司,云南省贵金属新材料控股集团有限公司,15,贵金属控股（新加坡）有限公司,0
2021年7月10日，云投生态控股子公司洪尧园林向张国英申请70万元借款。,子公司,云投生态,11,洪尧园林,20
2020年2月24日，云南城投下属控股子公司西双版纳航空投资有限公司公开挂牌转让所持有的西双版纳航投置业有限公司80%的股权。,子公司,云南城投,11,西双版纳航空投资有限公司,22
"2019年8月23日，云南城投全资子公司成都民生喜神投资有限公司采取认缴方式将其注册资本金由1,000万元增加至10,000万元，云南城投仍持有民生喜神100%的股权。",子公司,云南城投,11,成都民生喜神投资有限公司,20
2019年12月4日，云南城投以债权人身份向人民法院申请对公司控股子公司云南艺术家园房地产开发经营有限公司进行破产清算。,子公司,云南城投,11,云南艺术家园房地产开发经营有限公司,36
2018年5月17日，贵研铂业全资子公司贵研金属（上海）有限公司与北京黄金交易中心有限公司签署《产品购销合同》。,子公司,贵研铂业,11,贵研金属（上海）有限公司,20
2018年，贵研铂业为子公司昆明贵研催化剂有限责任公司提供担保金额为5.62亿元。,子公司,贵研铂业,6,昆明贵研催化剂有限责任公司,14
"2018年，贵研铂业为子公司贵研资源(易门)有限公司提供担保金额为11,305.28万元。",子公司,贵研铂业,6,贵研资源(易门)有限公司,14
"2018年，贵研铂业为子公司贵研金属（上海）有限公司提供担保金额为8,211万元。",子公司,贵研铂业,6,贵研金属（上海）有限公司,14
2018年，贵研铂业为子公司贵研工业催化剂（云南）有限公司提供担保金额为：911.50万元。,子公司,贵研铂业,6,贵研工业催化剂（云南）有限公司,14
中交上海航道局有限公司成立于1994年6月6日，主要从事港口与航道建设工程施工。,主营,中交上海航道局有限公司,0,建设工程,33
中交融资租赁有限公司成立于2014年5月8日，主要从事融资租赁业务。,主营,中交融资租赁有限公司,0,融资租赁,2
中交地产股份有限公司成立于1993年2月3日，主要从事房地产开发经营业务。,主营,中交地产股份有限公司,0,房地产,27
云投生态所从事的业务中，以生态环保和环境治理为主要方向的业务有着较好的发展机遇和较大的增长空间，国家和行业政策利好。,主营,云投生态,0,生态环保,13
云投生态所从事的业务中，以生态环保和环境治理为主要方向的业务有着较好的发展机遇和较大的增长空间，国家和行业政策利好。,主营,云投生态,0,环境治理,18
云投农林所属行业为林业，主要经营林业种植业、林业产品等。,主营,云投农林,0,林业,9
云南温泉山谷康养度假运营开发（集团）有限公司成立于2006年1月26日，主要从事房地产开发经营业务。,主营,云南温泉山谷康养度假运营开发（集团）有限公司,0,房地产,40
云南城投的经营范围为房地产开发与经营、商品房销售、房屋租赁、基础设施建设投资、土地开发。,主营,云南城投,0,房地产,10
西安云城置业有限公司为一家从事房地产的开发与销售的公司，有房地产开发四级资质，目前开发的项目为“融城云谷”写字楼，项目位于西安高新区科技三路57号，该项目设计由中联西北工程设计研究院设计，中建三局承建。,主营,西安云城置业有限公司,0,房地产,15
昆明市西苑房地产开发经营有限公司成立于2002年5月17日，主要从事房地产开发经营业务。,主营,昆明市西苑房地产开发经营有限公司,0,房地产,5
昆明市官渡区城中村改造置业有限公司成立于2009年11月24日，主要从事房地产开发经营业务。,主营,昆明市官渡区城中村改造置业有限公司,0,房地产,36
贵研催化剂（东营）有限公司法定代表人为冯丰，主营业务为专用化学产品制造。,主营,贵研催化剂（东营）有限公司,0,化学产品,29
贵研铂业所处行业为贵金属工业材料制造行业，属国家重点支持的新材料领域。 ,主营,贵研铂业,0,贵金属工业材料制造,9
云南城投已聘请中和资产评估有限公司对华商之家全部剩余房产进行评估。,中介机构,云南城投,0,中和资产评估有限公司,7
云南城投聘请北京亚超资产评估有限公司作为本次交易的资产评估机构。,中介机构,云南城投,0,北京亚超资产评估有限公司,6
云南城投聘请北京亚超资产评估有限公司作为本次交易的评估机构，具有证券、期货相关服务资格。,中介机构,云南城投,0,北京亚超资产评估有限公司,6
"经北京亚超资产评估有限公司对昆明市官渡区城中村改造置业有限公司评估，昆明市官渡区城中村改造置业有限公司资产总额为5,763,304,514.37元，净资产值为0元。",中介机构,北京亚超资产评估有限公司,1,昆明市官渡区城中村改造置业有限公司,14
贵研铂业控股子公司贵研催化公司结合自身业务发展的实际需要，对外转让其所持重庆贵研公司20%股权，经重庆立信资产评估土地房地产估价有限公司评估后的转让价格为15.78万元。,中介机构,重庆立信资产评估土地房地产估价有限公司,49,重庆贵研公司,36
贵研铂业根据自身业务发展的需要，收购控股子公司永兴资源公司下属全资子公司永兴检测公司51%股权，经中和资产评估有限公司评估后的收购价格为237.69万元。,中介机构,中和资产评估有限公司,49,永兴检测公司,36
北京中同华资产评估有限公司接受西安云城置业有限公司的委托，对云南安盛创享旅游产业投资合伙企业（有限合伙）拟转让所持有西安云城置业有限公司51%股权所涉及的西安云城置业有限公司股东全部权益进行评估。,中介机构,北京中同华资产评估有限公司,0,西安云城置业有限公司,77
北京亚超指北京亚超资产评估有限公司，为云南城投本次交易的资产评估机构。,中介机构,云南城投,19,北京亚超,0
云投生态聘任中审众环会计师事务所为公司及控股子公司2019年度财务审计机构，聘期一年，审计费用预计90万元。,中介机构,云投生态,0,中审众环会计师事务所,6
云南云投生态环境科技股份有限公司聘请的中审众环会计师事务所（特殊普通合伙）对公司2020年度财务报告进行了审计并出具了带持续经营重大不确定性段落的无保留意见的《审计报告》。,中介机构,云南云投生态环境科技股份有限公司,0,中审众环会计师事务所,19
云南城投置业股份有限公司续聘“信永中和会计师事务所（特殊普通合伙）”为公司2021年度审计机构的公告。,中介机构,云南城投置业股份有限公司,0,信永中和会计师事务所,15
云南城投聘请信永中和会计师事务所（特殊普通合伙）作为本次交易的审计机构。,中介机构,云南城投,0,信永中和会计师事务所,6
信永中和指信永中和会计师事务所（特殊普通合伙），为云南城投本次交易的审计机构。,中介机构,云南城投,25,信永中和,0
信永中和会计师事务所（特殊普通合伙）为贵研铂业财务报表进行审计并出具了标准无保留意见的审计报告。,中介机构,贵研铂业,19,信永中和会计师事务所,0
贵研铂业继续聘请瑞华会计师事务所（特殊普通合伙）为2018年度财务审计机构，聘期一年，财务审计的酬金为50万元。,中介机构,贵研铂业,0,瑞华会计师事务所,8
云南建广律师事务所接受云南云投生态环境科技股份有限公司的聘请，指派本所执业律师胡鹏、宋婷出席云投生态2018年度股东大会现场会议，出具法律意见书。 ,中介机构,云投生态,13,云南建广律师事务所,0
北京德恒（昆明）律师事务所关于云南城投置业股份有限公司2021年第四次临时股东大会会议的法律意见。,中介机构,云南城投置业股份有限公司,15,北京德恒（昆明）律师事务所,0
北京大成（昆明）律师事务所接受云南云投生态环境科技股份有限公司的聘请，指派本所执业律师普中华、张琦雪律师出席云投生态2019年度股东大会现场会议，出具本法律意见书。 ,中介机构,云南云投生态环境科技股份有限公司,15,北京大成（昆明）律师事务所,0
云投生态积极对接室内景观及美陈业务，2020年主要延续实施管理好昆明长水机场美陈项目等。,项目,云投生态,0,昆明长水机场,32
云南城投位于四川旅游名胜区域青城山的“梦享·春山可望”项目，定位为集餐饮、度假、休闲、住宿为一体的田园文化体验商旅小镇。,项目,云南城投,0,梦享·春山可望,19
云南城投旗下龙腾湾项目位于海口市西海岸。,项目,云南城投,0,龙腾湾,6
"云南城投目前正在开发建设的西双版纳“楠景新城”项目，规划总建设用地6,641亩，是云南省 “三个一百”重点建设项目。",项目,云南城投,0,楠景新城,18
云南城投目前计划以现有的昆明市北市区核心大盘“昆明湖”项目为推进试点，以居家康养的生活模式为核心，进行室内外适老化改造，建设全龄化社区。,项目,云南城投,0,昆明湖,23
云南城投华商之家投资开发有限公司开发建设的滇池湖滨半岛商务中心项目于2017年4月17日竣工验收。,项目,云南城投华商之家投资开发有限公司,0,滇池湖滨半岛商务中心,21
云创商业管理（杭州）有限公司北仑分公司负责苍南银泰城购物中心的整体经营。,项目,云创商业管理（杭州）有限公司,0,苍南银泰城购物中心,21
西安云城置业有限公司为一家从事房地产的开发与销售的公司，有房地产开发四级资质，目前开发的项目为“融城云谷”写字楼，项目位于西安高新区科技三路57号，该项目设计由中联西北工程设计研究院设计，中建三局承建。,项目,西安云城置业有限公司,0,融城云谷,48
平阳银泰目前运作平阳银泰城项目，该项目位于温州市平阳县鳌江镇。,项目,平阳银泰,0,平阳银泰城,8
宁波银泰主要开发宁波东部新城银泰城项目，包括购物中心、商业街、住宅、写字楼、车位。,项目,宁波银泰,0,宁波东部新城银泰城,8
宁波泰悦开发“宁波北仑银泰城”项目，建成于2014年5月。,项目,宁波泰悦,0,宁波北仑银泰城,7
楠景新城项目位于西双版纳橄榄坝傣族园景区旁，项目定位为云南城投文旅康养项目。,项目,云南城投,27,楠景新城,0
旅游地产方面，云南城投基于旅游地产“梦云南”品牌旅居物业搭建的“梦云南旅居（分时）度假平台”，以及“一地置业，多地度假”的度假理念已投入运行六年。,项目,云南城投,7,梦云南,18
昆明正城房地产开发有限公司目前已实施一个名为“林语斓郡苑”项目。,项目,昆明正城房地产开发有限公司,0,林语斓郡苑,23
昆明市官渡区人民政府决定协议收回云南城投下属全资子公司云南城投置地有限公司“拾萃城”项目国有土地使用权。,项目,云南城投置地有限公司,27,拾萃城,38
交易完成后云南城投的固定资产主要为公司办公楼及车位、大理洱海天域英迪格酒店、海南海口万豪酒店。 ,项目,云南城投,5,大理洱海天域英迪格酒店,26
交易完成后云南城投的固定资产主要为公司办公楼及车位、大理洱海天域英迪格酒店、海南海口万豪酒店。 ,项目,云南城投,5,海南海口万豪酒店,38
交易完成后云南城投的固定资产主要为公司办公楼及车位、大理洱海天域英迪格酒店、海南海口万豪酒店、成都华尔道夫酒店。,项目,云南城投,5,大理洱海天域英迪格酒店,26
交易完成后云南城投的固定资产主要为公司办公楼及车位、大理洱海天域英迪格酒店、海南海口万豪酒店、成都华尔道夫酒店。,项目,云南城投,5,海南海口万豪酒店,38
交易完成后云南城投的固定资产主要为公司办公楼及车位、大理洱海天域英迪格酒店、海南海口万豪酒店、成都华尔道夫酒店。,项目,云南城投,5,成都华尔道夫酒店,47
杭州云泰用其理想银泰城二、三期的土地及在建工程，为康旅集团涉及的债务16亿元提供抵押担保。,项目,杭州云泰,0,理想银泰城,6
杭州云泰目前运作杭州临平银泰城项目，其中，一期为住宅，二期为购物中心、商业街及公寓。,项目,杭州云泰,0,杭州临平银泰城,8
哈尔滨银旗的开发项目为哈尔滨银泰城项目，包括购物中心、住宅、商业、车位。,项目,哈尔滨银旗,0,哈尔滨银泰城,11
春山可望项目为云南城投的文旅地产项目，项目位于青城山景区旁，主要成交客户为外地旅居人群。,项目,云南城投,7,春山可望,0
苍南银泰目前运作苍南银泰城项目，自持的商业物业整租给云泰商管经营，其物业类型包括：银泰百货、住宅、商业裙房、地下室。,项目,苍南银泰,0,苍南银泰城,8
2020年云投生态继续实施好文山三七工业园区、富宁清华洞水源地保护等环境治理和设施工程，积极拓展环保咨询、环保管家业务，取得了较好成绩。,项目,云投生态,5,文山三七工业园区,14
2020年云投生态继续实施好文山三七工业园区、富宁清华洞水源地保护等环境治理和设施工程，积极拓展环保咨询、环保管家业务，取得了较好成绩。,项目,云投生态,5,富宁清华洞水源地,23
2020年因云南城投开工周期拉长，前三季度仅有融城.昆明湖中坝7地块、临平银泰城竣工交房达到结转条件，确认收入。,项目,云南城投,6,融城.昆明湖,23
2020年因云南城投开工周期拉长，前三季度仅有融城.昆明湖中坝7地块、临平银泰城竣工交房达到结转条件，确认收入。,项目,云南城投,6,临平银泰城,35
2020年，云南城投旗下融城.昆明湖项目居家康养生活模式正在筹划。,项目,云南城投,6,融城.昆明湖,12
2020年，云南城投旗下“梦云南旅居（分时）度假平台”已投入运行六年。,项目,云南城投,6,梦云南旅居（分时）度假平台,13
2020年，按照政府的通知要求及云南城投资金计划安排，梦云南.海东方项目、兰州上徐项目等地块继续停工，融城.昆明湖中坝11地块自2020年1月开始停工。,项目,云南城投,16,梦云南.海东方,27
2020年，按照政府的通知要求及云南城投资金计划安排，梦云南.海东方项目、兰州上徐项目等地块继续停工，融城.昆明湖中坝11地块自2020年1月开始停工。,项目,云南城投,16,兰州上徐,37
2020年，按照政府的通知要求及云南城投资金计划安排，梦云南.海东方项目、兰州上徐项目等地块继续停工，融城.昆明湖中坝11地块自2020年1月开始停工。,项目,云南城投,16,融城.昆明湖,51
2019年，云南城投新增收购西安国金中心、海港中心、秦汉创业中心项目、成都青城山项目的部分股权。,项目,云南城投,6,西安国金中心,14
2019年，云南城投新增收购西安国金中心、海港中心、秦汉创业中心项目、成都青城山项目的部分股权。,项目,云南城投,6,海港中心,21
2019年，云南城投新增收购西安国金中心、海港中心、秦汉创业中心项目、成都青城山项目的部分股权。,项目,云南城投,6,秦汉创业中心,26
2019年，云南城投新增收购西安国金中心、海港中心、秦汉创业中心项目、成都青城山项目的部分股权。,项目,云南城投,6,成都青城山,35
2019年，云南城投通过招拍挂新增获取昆明晋宁古滇未来城二期、关坡二期项目、西双版纳江心岛项目、航空小镇项目国有建设用地使用权，土地面积合计2284亩。,项目,云南城投,6,昆明晋宁古滇未来城二期,19
